Date,Price,Open,High,Low,Vol.,Change %
14-Sep-11,704,703.75,712.5,698.13,-,0.02%
13-Sep-11,703.88,730.88,731.88,696.25,-,-3.79%
12-Sep-11,731.63,727.75,734.88,711.63,-,0.50%
11-Sep-11,728,730.13,730.13,726.63,-,-0.15%
09-Sep-11,729.13,738.25,742.13,727.13,-,-1.22%
08-Sep-11,738.13,753,753.63,733.63,-,-2.04%
07-Sep-11,753.5,763.63,772.75,748.13,-,-1.33%
06-Sep-11,763.63,765.88,770.25,750.13,-,-0.26%
05-Sep-11,765.63,776.63,776.63,762.88,-,-1.32%
02-Sep-11,775.88,765.13,777.88,758.13,-,1.40%
01-Sep-11,765.13,787.88,789.13,758.38,-,-2.92%
31-Aug-11,788.13,786,793.88,775.38,-,0.29%
30-Aug-11,785.88,789.63,795.5,781.38,-,-0.49%
29-Aug-11,789.75,770.25,805.63,765.25,-,2.48%
28-Aug-11,770.63,761.75,770.63,761.75,-,1.13%
26-Aug-11,762,753.5,768.63,747.38,-,1.01%
25-Aug-11,754.38,746.38,763.88,735.88,-,1.04%
24-Aug-11,746.63,755,763.88,745.38,-,-1.11%
23-Aug-11,755,737.38,758.75,737.38,-,2.36%
22-Aug-11,737.63,732.13,746.5,732.13,-,0.75%
21-Aug-11,732.13,734.63,734.63,730.88,-,0.05%
19-Aug-11,731.75,706.13,733.38,701.13,-,3.63%
18-Aug-11,706.13,725.63,725.75,700.5,-,-2.67%
17-Aug-11,725.5,725.75,739.25,722.63,-,-0.02%
16-Aug-11,725.63,710.5,732.5,704.5,-,2.15%
15-Aug-11,710.38,711.38,721.13,707.5,-,-0.11%
14-Aug-11,711.13,705.38,711.75,704.88,-,1.07%
12-Aug-11,703.63,703.5,718.63,696.38,-,0.07%
11-Aug-11,703.13,684.88,719.88,680.38,-,2.72%
10-Aug-11,684.5,683.13,690.75,676.63,-,0.24%
09-Aug-11,682.88,651.63,687.13,643.63,-,4.76%
08-Aug-11,651.88,673.5,677.38,642.5,-,-3.23%
07-Aug-11,673.63,666.75,675.75,665.63,-,-0.61%
05-Aug-11,677.75,673.13,682.38,665.63,-,0.71%
04-Aug-11,673,705.5,706.25,667.5,-,-4.52%
03-Aug-11,704.88,715.25,718.63,703.38,-,-1.47%
02-Aug-11,715.38,680.88,722.5,667.75,-,5.05%
01-Aug-11,681,674.5,690.38,670.13,-,0.91%
31-Jul-11,674.88,671.13,676,670.38,-,0.30%
29-Jul-11,672.88,697.88,699.75,670,-,-3.51%
28-Jul-11,697.38,700,714.63,692.38,-,-0.36%
27-Jul-11,699.88,692.25,712.13,686.25,-,1.12%
26-Jul-11,692.13,687.75,698.88,679.38,-,0.65%
25-Jul-11,687.63,683.75,695.13,671.63,-,0.59%
24-Jul-11,683.63,684,687.75,681.5,-,-1.41%
22-Jul-11,693.38,680.25,693.38,669.5,-,1.85%
21-Jul-11,680.75,687.5,702.25,672,-,-0.96%
20-Jul-11,687.38,701,707.13,685.13,-,-1.89%
19-Jul-11,700.63,693.75,727.5,689.25,-,1.01%
18-Jul-11,693.63,681.5,694.63,676.25,-,1.80%
17-Jul-11,681.38,694.5,695.38,680.13,-,-2.01%
15-Jul-11,695.38,707.63,715.63,692.75,-,-1.77%
14-Jul-11,707.88,716.25,720.25,690.5,-,-1.13%
13-Jul-11,716,667.5,719.13,665.13,-,7.27%
12-Jul-11,667.5,638.25,676,617.63,-,4.60%
11-Jul-11,638.13,647.38,649.88,626.88,-,-1.43%
10-Jul-11,647.38,655.25,655.25,646.25,-,-0.40%
08-Jul-11,650,634.75,657.25,633.63,-,2.32%
07-Jul-11,635.25,623.63,639.88,619.25,-,1.78%
06-Jul-11,624.13,635.38,639.38,620.13,-,-1.75%
05-Jul-11,635.25,625.38,640.88,623.13,-,1.54%
04-Jul-11,625.63,611.13,625.88,611.13,-,2.29%
01-Jul-11,611.63,600.5,623,592.88,-,1.87%
30-Jun-11,600.38,674.75,677.75,596,-,-11.06%
29-Jun-11,675,680.63,696.88,662.13,-,-0.84%
28-Jun-11,680.75,657.88,682,653.38,-,3.52%
27-Jun-11,657.63,653.13,658.88,642.63,-,0.71%
26-Jun-11,653,661.25,661.25,652.63,-,3.38%
24-Jun-11,631.63,645.88,659,631.63,-,-2.19%
23-Jun-11,645.75,636.75,651.88,606.13,-,1.39%
22-Jun-11,636.88,677.38,680.25,617.38,-,-5.96%
21-Jun-11,677.25,658.38,680.63,655.88,-,2.85%
20-Jun-11,658.5,673.88,674.63,656.13,-,-2.30%
19-Jun-11,674,673.75,675.13,671.88,-,0.32%
17-Jun-11,671.88,671.25,683.63,664.13,-,0.15%
16-Jun-11,670.88,711,712.88,666.25,-,-5.69%
15-Jun-11,711.38,732,734.13,701.25,-,-2.80%
14-Jun-11,731.88,745.88,746.75,714.5,-,-1.98%
13-Jun-11,746.63,766.38,768.63,740.38,-,-2.59%
12-Jun-11,766.5,760.63,769.88,760.63,-,0.87%
10-Jun-11,759.88,748.5,763.38,738.13,-,1.57%
09-Jun-11,748.13,752,769.5,739.63,-,-0.50%
08-Jun-11,751.88,741.63,759.13,731.88,-,1.42%
07-Jun-11,741.38,746.63,746.88,731.38,-,-0.62%
06-Jun-11,746,774.88,777.38,741.25,-,-3.77%
05-Jun-11,775.25,772.25,777.88,772,-,0.31%
03-Jun-11,772.88,772.25,780.88,759.25,-,0.05%
02-Jun-11,772.5,761.63,774.13,758.63,-,1.44%
01-Jun-11,761.5,787.13,787.63,754.38,-,-3.26%
31-May-11,787.13,792.63,806.38,773,-,-0.71%
30-May-11,792.75,793.5,794.88,784.63,-,-3.40%
27-May-11,820.63,819,826.88,803.63,-,0.21%
26-May-11,818.88,802.38,828.5,802,-,1.99%
